Breed,Age,Height,Weight,Character Traits,Health_Problems
English Setter,12,63.5,28.34952312,"Friendly, Mellow, Merry","Dental problems, eye issues, skin allergies"
Löwchen,15,30.48,5.669904625,"Affectionate, Outgoing, Positive","Hip dysplasia, cancer, skin allergies"
Boykin Spaniel,12.5,40.64,14.74175203,"Friendly, Eager, Lovable","Dental problems, eye issues, skin allergies"
Pumi,12.5,42.545,11.56660544,"Energetic, Lively, Ready to Work","Dental problems, eye issues, skin allergies"
Swedish Lapphund,13,45.72,17.00971388,"Playful, Intelligent, Lively","Dental problems, eye issues, skin allergies"
Stabyhoun,14,50.8,22.6796185,"Intelligent, Responsive, Loving","Dental problems, eye issues, skin allergies"
Cirneco dell’Etna,13,45.72,9.752235955,"Affectionate, Friendly, Independent","Dental problems, skin allergies, hip dysplasia"
Coton de Tulear,17,25.4,5.216312255,"Charming, Bright, Happy-Go-Lucky","Skin allergies, eye problems, hip dysplasia"
Karelian Bear Dog,12,53.975,21.0920452,"Loyal, Independent, Courageous","Skin allergies, respiratory issues, obesity"
Irish Water Spaniel,12.5,57.15,25.62796891,"Playful, Hardworking, Brave","Dental problems, eye issues, skin allergies"
Mudi,13,42.545,10.6594207,"Loyal, Intelligent, Active","Dental problems, eye problems, skin allergies"
Anatolian Shepherd Dog,12,71.12,52.16312255,"Loyal, Independent, Reserved","Breathing problems, eye problems, hip dysplasia"
Norwich Terrier,13.5,25.4,5.44310844,"Affectionate, Alert, Curious","Hip dysplasia, eye problems, heart conditions"
Norfolk Terrier,14,24.13,5.216312255,"Fearless, Alert, Fun-Loving","Dental problems, eye issues, skin allergies"
Wirehaired Pointing Griffon,13.5,55.88,23.81359943,"Friendly, Devoted, Trainable","Hip dysplasia, eye problems, heart conditions"
Black Russian Terrier,11,71.12,47.62719885,"Intelligent, Calm, Powerful","Dental problems, eye issues, skin allergies"
Weimaraner,11.5,63.5,32.88544683,"Friendly, Fearless, Obedient","Dental problems, eye issues, skin allergies"
Eurasier,14,54.61,24.94758035,"Confident, Calm, Family-Oriented","Dental problems, eye issues, skin allergies"
Black and Tan Coonhound,11,63.5,39.68933238,"Easy-Going, Bright, Brave","Dental problems, respiratory issues, eye problems"
Portuguese Podengo Pequeno,13.5,25.4,4.98951607,"Playful, Charming, Lively","Dental problems, eye problems, obesity"
Border Collie,13.5,50.8,19.27767573,"Affectionate, Smart, Energetic","Hip dysplasia, heart conditions, cancer"
Scottish Deerhound,9.5,76.2,41.95729423,"Gentle, Dignified, Polite","Dental problems, eye issues, skin allergies"
Slovensky Kopov,12.5,45.72,17.46330625,"Courageous, Alert, Determined","Dental problems, skin allergies, hip dysplasia"
Brussels Griffon,13.5,21.59,4.08233133,"Loyal, Alert, Curious","Hip dysplasia, cancer, heart conditions"
Small Munsterlander Pointer,13,52.705,22.6796185,"Intelligent, Devoted, Self-Confident","Dental problems, eye issues, respiratory issues"
Irish Setter,13.5,66.04,29.48350405,"Active, Outgoing, Sweet-Natured","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,13.5,29.21,14.28815966,"Affectionate, Loyal, Smart","Dental problems, eye issues, skin allergies"
English Cocker Spaniel,13,40.64,13.6077711,"Energetic, Merry, Responsive","Dental problems, eye issues, skin allergies"
Kerry Blue Terrier,13.5,46.99,16.55612151,"Smart, Alert, People-Oriented","Dental problems, eye issues, skin allergies"
Bolognese,13,27.94,3.288544683,"Playful, Easy-Going, Devoted","Dental problems, eye issues, skin allergies"
Bulldog,9,36.83,20.41165665,"Friendly, Courageous, Calm","Dental problems, eye issues, skin allergies"
Collie,13,60.96,28.34952312,"Devoted, Graceful, Proud","Skin allergies, eye problems, hip dysplasia"
Wetterhoun,13,35.56,28.34952312,"Loyal, Good-Natured, Intelligent","Dental problems, eye issues, skin allergies"
Working Kelpie,13.5,55.88,19.95806428,"Alert, Eager, Intelligent","Hip dysplasia, elbow dysplasia, pancreatitis"
Russian Tsvetnaya Bolonka,14,24.13,3.515340868,"Playful, Charming, Inquisitive","Dental problems, eye issues, skin allergies"
Bull Terrier,12.5,54.61,27.2155422,"Playful, Charming, Mischievous","Hip dysplasia, eye problems, cancer"
Neapolitan Mastiff,8,69.85,58.9670081,"Loyal, Dignified, Watchful","Dental problems, eye issues, skin allergies"
Sealyham Terrier,13,26.67,10.6594207,"Alert, Outgoing, Sense Of Humor","Dental problems, eye issues, skin allergies"
American Eskimo Dog,14,35.56,9.298643585,"Playful, Perky, Smart","Hip dysplasia, cancer, skin allergies"
Affenpinscher,13.5,26.035,3.855535145,"Confident, Famously Funny, Fearless","Dental problems, eye issues, skin allergies"
Icelandic Sheepdog,13,43.815,12.47379018,"Friendly, Playful, Inquisitive","Hip dysplasia, heart conditions, cancer"
Border Collie,13.5,50.8,19.27767573,"Affectionate, Smart, Energetic","Dental problems, eye problems, respiratory issues"
Bavarian Mountain Scent Hound,13.5,47.625,23.36000706,"Loyal, Versatile, Reserved with Strangers","Hip dysplasia, eye problems, cancer"
Cesky Terrier,13.5,29.21,8.61825503,"Clever, Adventurous, Family-Oriented","Dental problems, eye issues, skin allergies"
Affenpinscher,13.5,26.035,3.855535145,"Confident, Famously Funny, Fearless","Dental problems, eye issues, skin allergies"
Tibetan Spaniel,13.5,25.4,5.44310844,"Playful, Bright, Self-Confident","Dental problems, eye issues, skin allergies"
Hokkaido,13.5,48.26,24.94758035,"Dignified, Alert, Devoted","Dental problems, pancreatitis, diabetes"
American Hairless Terrier,15,35.56,6.35029318,"Energetic, Alert, Curious","Ear infections, hip dysplasia, eye problems"
Biewer Terrier,16,22.86,2.72155422,"Intelligent, Devoted, Amusing","Hip dysplasia, eye problems, heart conditions"
Rhodesian Ridgeback,10,64.77,35.15340868,"Affectionate, Dignified, Even-Tempered","Dental problems, eye issues, skin allergies"
Field Spaniel,12.5,44.45,19.27767573,"Sweet, Fun-Loving, Sensitive","Dental problems, skin allergies, hip dysplasia"
Dogue de Bordeaux,6.5,62.23,47.40040267,"Affectionate, Loyal, Courageous","Dental problems, pancreatitis, diabetes"
Havanese,15,25.4,4.5359237,"Intelligent, Outgoing, Funny","Hip dysplasia, cancer, elbow dysplasia"
Braque Francais Pyrenean,12.54054312,52.705,21.54563758,"Friendly, Smart, Willing to Please","Hip dysplasia, epilepsy, bladder stones"
Norwegian Elkhound,13.5,50.8,23.36000706,"Friendly, Confident, Dependable","Breathing problems, eye problems, hip dysplasia"
Skye Terrier,13,24.765,18.1436948,"Courageous, Good-Tempered, Canny","Dental problems, eye issues, skin allergies"
Caucasian Shepherd Dog,11,67.31,61.00817377,"Fearless, Bold, Kind","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,13.5,29.21,14.28815966,"Affectionate, Loyal, Smart","Hip dysplasia, cancer, heart conditions"
Rat Terrier,15,35.56,7.937866475,"Friendly, Inquisitive, Lovable","Dental problems, eye issues, skin allergies"
Japanese Spitz,13,34.29,7.937866475,"Loyal, Playful, Smart","Dental problems, skin allergies, hip dysplasia"
Rafeiro do Alentejo,13,68.58,47.40040267,"Confident, Calm, Powerful","Hip dysplasia, cancer, elbow dysplasia"
Tibetan Terrier,15.5,39.37,10.88621688,"Affectionate, Loyal, Sensitive","Hip dysplasia, heart conditions, cancer"
Curly-Coated Retriever,11,63.5,35.15340868,"Confident, Proud, Wickedly Smart","Eye problems, respiratory issues, obesity"
Boykin Spaniel,12.5,40.64,14.74175203,"Friendly, Eager, Lovable","Ear infections, hip dysplasia, epilepsy"
Doberman Pinscher,11,66.04,36.2873896,"Loyal, Fearless, Alert","Dental problems, ear infections, obesity"
Beagle,12.5,35.56,11,"Friendly, Curious, Merry","Intervertebral disc disease, hip dysplasia, diabetes"
Scottish Terrier,12,25.4,9.0718474,"Confident, Independent, Spirited","Hip dysplasia, eye problems, cancer"
Old English Sheepdog,11,54.61,36.2873896,"Adaptable, Gentle, Smart","Dental problems, eye issues, skin allergies"
Russian Toy,13,24.13,2.948350405,"Loyal, Smart, Charming","Hip dysplasia, eye problems, cancer"
American Staffordshire Terrier,14,45.72,24.94758035,"Confident, Smart, Good-Natured","Ear infections, hip dysplasia, eye problems"
Carolina Dog,12.54054312,47.3075,19.27767573,"Loyal, Independent, Reserved with Strangers","Hip dysplasia, cancer, elbow dysplasia"
Nova Scotia Duck Tolling Retriever,13,48.26,19.27767573,"Affectionate, Intelligent, Outgoing","Dental problems, respiratory issues, eye problems"
Miniature Schnauzer,13.5,33.02,7.030681735,"Friendly, Smart, Obedient","Hip dysplasia, eye problems, epilepsy"
American Hairless Terrier,15,35.56,6.35029318,"Energetic, Alert, Curious","Dental problems, eye issues, skin allergies"
Keeshond,13.5,44.45,18.1436948,"Friendly, Lively, Outgoing","Dental problems, eye issues, skin allergies"
Keeshond,13.5,44.45,18.1436948,"Friendly, Lively, Outgoing","Dental problems, eye issues, respiratory issues"
Cavalier King Charles Spaniel,13.5,31.75,7.030681735,"Affectionate, Gentle, Graceful","Dental problems, eye issues, skin allergies"
Perro de Presa Canario,10,60.96,43.99845989,"Confident, Calm, Strong-Willed","Hip dysplasia, cancer, skin allergies"
Toy Fox Terrier,14,25.4,2.381359943,"Friendly, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Jagdterrier,11,36.83,8.845051215,"Courageous, Intelligent, Hardworking","Hip dysplasia, eye problems, cancer"
Carolina Dog,12.54054312,47.3075,19.27767573,"Loyal, Independent, Reserved with Strangers","Dental problems, eye problems, bladder stones"
Belgian Laekenois,11,60.96,27.2155422,"Affectionate, Alert, Intelligent","Hip dysplasia, epilepsy, bladder stones"
Karelian Bear Dog,12,53.975,21.0920452,"Loyal, Independent, Courageous","Dental problems, skin allergies, hip dysplasia"
Nova Scotia Duck Tolling Retriever,13,48.26,19.27767573,"Affectionate, Intelligent, Outgoing","Dental problems, skin allergies, hip dysplasia"
Afghan Hound,13.5,66.04,24.94758035,"Dignified, Profoundly Loyal, Aristocratic","Hip dysplasia, heart conditions, cancer"
Kuvasz,11,71.12,41.95729423,"Loyal, Fearless, Sweet","Hip dysplasia, eye problems, cancer"
Cardigan Welsh Corgi,13.5,29.21,14.28815966,"Affectionate, Loyal, Smart","Hip dysplasia, eye problems, heart conditions"
Dutch Shepherd,12.5,58.42,26.53515365,"Intelligent, Lively, Athletic","Dental problems, eye problems, bladder stones"
Spanish Mastiff,11,80.01,77.1107029,"Affectionate, Intelligent, Kind","Dental problems, eye issues, skin allergies"
Bouvier des Flandres,11,64.77,40.8233133,"Affectionate, Courageous, Strong-Willed","Dental problems, eye problems, bladder stones"
Dalmatian,12,54.61,26.08156128,"Dignified, Smart, Outgoing","Dental problems, eye issues, skin allergies"
Mudi,13,42.545,10.6594207,"Loyal, Intelligent, Active","Dental problems, eye issues, skin allergies"
Pharaoh Hound,13,58.42,22.6796185,"Friendly, Smart, Noble","Dental problems, eye issues, skin allergies"
Portuguese Podengo,11,55.88,22.90641469,"Independent, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Boxer,11,59.055,21.54563758,"Bright, Fun-Loving, Active","Dental problems, respiratory issues, eye problems"
Bedlington Terrier,13.5,41.275,9.0718474,"Loyal, Charming, Frollicking","Dental problems, ear infections, obesity"
Hanoverian Scenthound,12,50.8,40.36972093,"Loyal, Independent, Calm","Dental problems, eye issues, skin allergies"
Komondor,11,67.31,40.8233133,"Loyal, Dignified, Brave","Hip dysplasia, cancer, heart conditions"
Pomeranian,14,16.51,2.26796185,"Inquisitive, Bold, Lively","Dental problems, eye issues, skin allergies"
Miniature Bull Terrier,12,30.48,10.43262451,"Upbeat, Mischievous, Comical","Dental problems, eye issues, skin allergies"
Belgian Tervuren,13,60.96,27.2155422,"Courageous, Alert, Intelligent","Hip dysplasia, heart conditions, cancer"
Kerry Blue Terrier,13.5,46.99,16.55612151,"Smart, Alert, People-Oriented","Hip dysplasia, cancer, elbow dysplasia"
Great Pyrenees,11,72.39,41.95729423,"Smart, Patient, Calm","Dental problems, eye issues, skin allergies"
Schapendoes,13.5,45.72,18.37049099,"Friendly, Watchful, Lively","Dental problems, eye issues, skin allergies"
Drentsche Patrijshond,12.5,58.42,27.44233839,"Loyal, Intelligent, Sensitive","Hip dysplasia, eye problems, cancer"
Komondor,11,67.31,40.8233133,"Loyal, Dignified, Brave","Hip dysplasia, eye problems, cancer"
Entlebucher Mountain Dog,12,46.99,23.81359943,"Loyal, Smart, Enthusiastic","Dental problems, eye issues, skin allergies"
Pharaoh Hound,13,58.42,22.6796185,"Friendly, Smart, Noble","Hip dysplasia, heart conditions, cancer"
Central Asian Shepherd Dog,12.54054312,67.31,44.90564463,"Independent, Courageous, Self-Confident","Hip dysplasia, cancer, elbow dysplasia"
Jagdterrier,11,36.83,8.845051215,"Courageous, Intelligent, Hardworking","Hip dysplasia, heart conditions, cancer"
Pudelpointer,14,60.96,26.08156128,"Friendly, Smart, Willing to Please","Hip dysplasia, epilepsy, bladder stones"
Welsh Springer Spaniel,13.5,45.72,20.41165665,"Happy, Reserved, Upbeat","Dental problems, eye problems, skin allergies"
Teddy Roosevelt Terrier,15,29.21,7.484274105,"Playful, Versatile, Intelligent","Dental problems, pancreatitis, diabetes"
German Longhaired Pointer,13,63.5,30.61748498,"Versatile, Calm, Family-Oriented","Dental problems, eye issues, skin allergies"
Havanese,15,25.4,4.5359237,"Intelligent, Outgoing, Funny","Dental problems, ear infections, obesity"
Australian Kelpie,11.5,46.99,22.43197692,"Loyal, Alert, Intelligent","Ear infections, hip dysplasia, eye problems"
Azawakh,13.5,66.675,19.95806428,"Loyal, Independent, Deeply Affectionate","Dental problems, eye issues, skin allergies"
Lakeland Terrier,13.5,36.83,7.71107029,"Friendly, Confident, Bold","Dental problems, eye issues, skin allergies"
German Spitz,14,34.29,11.33980925,"Devoted, Lively, Attentive","Dental problems, eye problems, skin allergies"
Lagotto Romagnolo,16,44.45,13.38097492,"Affectionate, Keen, Undemanding","Dental problems, eye issues, skin allergies"
Miniature Schnauzer,13.5,33.02,7.030681735,"Friendly, Smart, Obedient","Dental problems, eye issues, skin allergies"
Teddy Roosevelt Terrier,15,29.21,7.484274105,"Playful, Versatile, Intelligent","Hip dysplasia, eye problems, cancer"
Saint Bernard,9,71.12,68.0388555,"Playful, Charming, Inquisitive","Dental problems, eye issues, skin allergies"
Akita,11.5,66.04,45.359237,"Courageous, Dignified, Profoundly Loyal","Breathing problems, eye problems, hip dysplasia"
Border Collie,13.5,50.8,19.27767573,"Affectionate, Smart, Energetic","Dental problems, eye issues, skin allergies"
Parson Russell Terrier,14,34.29,6.80388555,"Friendly, Clever, Athletic","Dental problems, eye issues, skin allergies"
Giant Schnauzer,13.5,64.77,31.7514659,"Loyal, Alert, Trainable","Hip dysplasia, eye problems, cancer"
American Water Spaniel,12,41.91,15.87573295,"Eager, Happy, Charming","Dental problems, skin allergies, hip dysplasia"
German Shorthaired Pointer,11,58.42,26.08156128,"Friendly, Smart, Willing to Please","Hip dysplasia, eye problems, heart conditions"
Sealyham Terrier,13,26.67,10.6594207,"Alert, Outgoing, Sense Of Humor","Dental problems, eye problems, skin allergies"
Briard,12,62.23,35.15340868,"Confident, Smart, Faithful","Dental problems, eye problems, obesity"
Boerboel,10,62.23,79.37866475,"Confident, Intelligent, Calm","Dental problems, eye issues, skin allergies"
Jindo,14,50.8,18.1436948,"Alert, Intelligent, Bold","Hip dysplasia, cancer, heart conditions"
Danish-Swedish Farmdog,12,34.29,7.937866475,"Energetic, Trainable, Attentive","Dental problems, eye issues, skin allergies"
Spanish Mastiff,11,80.01,77.1107029,"Affectionate, Intelligent, Kind","Dental problems, eye issues, skin allergies"
English Toy Spaniel,11,24.13,4.98951607,"Gentle, Playful, Intelligent","Dental problems, respiratory issues, eye problems"
Belgian Laekenois,11,60.96,27.2155422,"Affectionate, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Romanian Mioritic Shepherd Dog,13,65.405,52.16312255,"Loyal, Independent, Confident Guardian","Hip dysplasia, eye problems, epilepsy"
Japanese Spitz,13,34.29,7.937866475,"Loyal, Playful, Smart","Dental problems, eye issues, skin allergies"
Portuguese Water Dog,12,50.8,21.54563758,"Affectionate, Adventurous, Athletic","Skin allergies, eye problems, hip dysplasia"
Bearded Collie,13,53.34,22.6796185,"Smart, Bouncy, Charismatic","Hip dysplasia, heart conditions, cancer"
Porcelaine,12.5,57.15,26.53515365,"Independent, Energetic, Powerful","Dental problems, eye issues, skin allergies"
Brussels Griffon,13.5,21.59,4.08233133,"Loyal, Alert, Curious","Dental problems, eye issues, skin allergies"
Old English Sheepdog,11,54.61,36.2873896,"Adaptable, Gentle, Smart","Dental problems, eye issues, skin allergies"
Vizsla,13,57.15,23.58680324,"Affectionate, Gentle, Energetic","Dental problems, eye problems, obesity"
Treeing Tennessee Brindle,11,50.8,18.1436948,"Friendly, Alert, Intelligent","Dental problems, eye problems, obesity"
Black and Tan Coonhound,11,63.5,39.68933238,"Easy-Going, Bright, Brave","Dental problems, eye issues, skin allergies"
